_id,name,price,createdAt,updatedAt
ObjectId(696765f966c3ee17fd5ea46b),,,2026-01-14T09:46:33.870Z,2026-01-14T09:52:52.624Z
ObjectId(696765f966c3ee17fd5ea471),,,2026-01-14T09:46:33.913Z,2026-01-14T09:52:52.667Z
ObjectId(696765f966c3ee17fd5ea46c),,,2026-01-14T09:46:33.877Z,2026-01-14T09:52:52.631Z
ObjectId(696765f966c3ee17fd5ea46f),,,2026-01-14T09:46:33.898Z,2026-01-14T09:52:52.653Z
ObjectId(696765f966c3ee17fd5ea46e),,,2026-01-14T09:46:33.891Z,2026-01-14T09:52:52.645Z
ObjectId(696765f966c3ee17fd5ea467),,,2026-01-14T09:46:33.841Z,2026-01-14T09:52:52.594Z
ObjectId(696765f966c3ee17fd5ea46a),,,2026-01-14T09:46:33.863Z,2026-01-14T09:52:52.616Z
ObjectId(696765f966c3ee17fd5ea469),,,2026-01-14T09:46:33.855Z,2026-01-14T09:52:52.609Z
ObjectId(696765f966c3ee17fd5ea470),,,2026-01-14T09:46:33.906Z,2026-01-14T09:52:52.660Z
ObjectId(696765f966c3ee17fd5ea46d),,,2026-01-14T09:46:33.884Z,2026-01-14T09:52:52.638Z
ObjectId(696765f966c3ee17fd5ea468),,,2026-01-14T09:46:33.849Z,2026-01-14T09:52:52.601Z
ObjectId(696765f966c3ee17fd5ea464),,,2026-01-14T09:46:33.820Z,2026-01-14T09:52:52.572Z
ObjectId(696765f966c3ee17fd5ea45c),,,2026-01-14T09:46:33.763Z,2026-01-14T09:52:52.514Z
ObjectId(696765f966c3ee17fd5ea45e),,,2026-01-14T09:46:33.777Z,2026-01-14T09:52:52.528Z
ObjectId(696765f966c3ee17fd5ea45d),,,2026-01-14T09:46:33.770Z,2026-01-14T09:52:52.521Z
ObjectId(696765f966c3ee17fd5ea462),,,2026-01-14T09:46:33.806Z,2026-01-14T09:52:52.557Z
ObjectId(696765f966c3ee17fd5ea451),,,2026-01-14T09:46:33.685Z,2026-01-14T09:52:52.436Z
ObjectId(696765f966c3ee17fd5ea466),,,2026-01-14T09:46:33.834Z,2026-01-14T09:52:52.587Z
ObjectId(696765f966c3ee17fd5ea460),,,2026-01-14T09:46:33.792Z,2026-01-14T09:52:52.543Z
ObjectId(696765f966c3ee17fd5ea45b),,,2026-01-14T09:46:33.756Z,2026-01-14T09:52:52.507Z
ObjectId(696765f966c3ee17fd5ea456),,,2026-01-14T09:46:33.720Z,2026-01-14T09:52:52.471Z
ObjectId(696765f966c3ee17fd5ea453),,,2026-01-14T09:46:33.700Z,2026-01-14T09:52:52.450Z
ObjectId(696765f966c3ee17fd5ea461),,,2026-01-14T09:46:33.799Z,2026-01-14T09:52:52.550Z
ObjectId(696765f966c3ee17fd5ea45a),,,2026-01-14T09:46:33.749Z,2026-01-14T09:52:52.500Z
ObjectId(696765f966c3ee17fd5ea44f),,,2026-01-14T09:46:33.671Z,2026-01-14T09:52:52.421Z
ObjectId(696765f966c3ee17fd5ea44c),,,2026-01-14T09:46:33.650Z,2026-01-14T09:52:52.400Z
ObjectId(696765f966c3ee17fd5ea465),,,2026-01-14T09:46:33.827Z,2026-01-14T09:52:52.579Z
ObjectId(696765f966c3ee17fd5ea454),,,2026-01-14T09:46:33.706Z,2026-01-14T09:52:52.457Z
ObjectId(696765f966c3ee17fd5ea45f),,,2026-01-14T09:46:33.785Z,2026-01-14T09:52:52.536Z
ObjectId(696765f966c3ee17fd5ea458),,,2026-01-14T09:46:33.735Z,2026-01-14T09:52:52.485Z
ObjectId(696765f966c3ee17fd5ea455),,,2026-01-14T09:46:33.713Z,2026-01-14T09:52:52.464Z
ObjectId(696765f966c3ee17fd5ea452),,,2026-01-14T09:46:33.692Z,2026-01-14T09:52:52.443Z
ObjectId(696765f966c3ee17fd5ea463),,,2026-01-14T09:46:33.813Z,2026-01-14T09:52:52.565Z
ObjectId(696765f966c3ee17fd5ea459),,,2026-01-14T09:46:33.742Z,2026-01-14T09:52:52.493Z
ObjectId(696765f966c3ee17fd5ea457),,,2026-01-14T09:46:33.728Z,2026-01-14T09:52:52.478Z
ObjectId(696765f966c3ee17fd5ea44a),,,2026-01-14T09:46:33.636Z,2026-01-14T09:52:52.385Z
ObjectId(696765f966c3ee17fd5ea447),,,2026-01-14T09:46:33.615Z,2026-01-14T09:52:52.364Z
ObjectId(696765f966c3ee17fd5ea450),,,2026-01-14T09:46:33.678Z,2026-01-14T09:52:52.428Z
ObjectId(696765f966c3ee17fd5ea44b),,,2026-01-14T09:46:33.643Z,2026-01-14T09:52:52.393Z
ObjectId(696765f966c3ee17fd5ea449),,,2026-01-14T09:46:33.629Z,2026-01-14T09:52:52.378Z
ObjectId(696765f966c3ee17fd5ea44e),,,2026-01-14T09:46:33.664Z,2026-01-14T09:52:52.414Z
ObjectId(696765f966c3ee17fd5ea44d),,,2026-01-14T09:46:33.657Z,2026-01-14T09:52:52.407Z
